ID_Pedido,Data,Cliente_ID,Item,Quantidade,Preco_Unitario
1,2023-11-16,222,Torta de Limao,23,12.93
2,2024-05-25,232,Esfiha,,5.87
3,2024-12-20,276,Wrap de Frango,7,25.98
4,2024-10-17,198,Batata Frita,,11.62
5,2023-07-06,385,Esfiha,17,6.94
6,2023-02-04,260,Empanada,16,9.48
7,2025-02-18,250,Sorvete 2 bolas,7,9.93
8,2025-02-04,248,Refrigerante Lata,19,7.76
9,2023-11-21,229,Yakisoba,24,27.11
10,2023-08-30,254,Agua Mineral,17,4.24
11,2025-04-03,398,Yakisoba,16,30.42
12,2024-05-21,242,Sorvete 2 bolas,29,11.14
13,2024-03-01,152,Pizza Mussarela,8,42.5
14,2024-06-30,151,Suco de Laranja,18,8.35
15,2023-02-03,103,Batata Frita,14,13.13
16,2025-05-28,213,Batata Frita,11,13.18
17,2025-05-07,252,Cafe Expresso,29,7.35
18,2025-08-14,305,Salada Caesar,21,29.43
19,2025-07-15,267,Batata Frita,3,12.23
20,2024-04-22,317,Suco de Laranja,,9.45
21,2024-12-19,212,Sushi 8 pecas,17,31.66
22,2023-05-02,381,Suco de Laranja,12,
23,2023-11-15,164,Acai 300ml,26,17.37
24,2024-08-27,125,Torta de Limao,20,12.92
25,2023-04-20,342,Esfiha,20,6.84
26,2025-02-09,112,Acai 300ml,12,16.81
27,2024-09-10,139,Empanada,1,8.92
28,2024-01-18,252,Sushi 8 pecas,8,31.33
29,2025-08-28,353,Refrigerante Lata,8,8.02
30,2024-10-31,392,Agua Mineral,,4.83
31,2023-03-05,176,Wrap de Frango,16,25.54
32,2023-02-02,340,Brownie,13,9.1
33,2024-06-22,144,Suco de Laranja,21,9.54
34,2025-09-12,182,Pizza Calabresa,28,39.83
35,2023-10-06,354,Hamburguer,24,20.78
36,2024-05-06,106,Salada Caesar,7,29.76
37,2025-06-23,152,Brownie,24,9.84
38,2023-09-12,343,Hamburguer,18,24.96
39,2024-07-04,114,Batata Frita,17,13.25
40,2025-04-10,220,Refrigerante Lata,24,7.82
41,2024-09-20,111,Smoothie de Morango,24,14.12
42,2023-05-06,199,Pizza Calabresa,26,46.04
43,2024-02-12,198,Empanada,21,8.86
44,2025-03-21,324,Cafe Expresso,6,7.23
45,2023-02-08,192,Agua Mineral,27,4.78
46,2025-04-21,107,Torta de Limao,12,13.54
47,2023-12-01,194,Pizza Calabresa,16,44.03
48,2023-11-02,295,Pastel,4,10.34
49,2024-12-05,384,Acai 300ml,14,16.72
50,2023-06-29,118,Acai 300ml,24,14.36
51,2025-07-18,333,Pizza Calabresa,10,43.56
52,2024-09-25,341,Pizza Calabresa,11,41.73
53,2023-02-15,146,Brownie,6,
54,2024-08-18,196,Salada Caesar,27,30.63
55,2023-01-25,389,Pizza Mussarela,13,40.37
56,2023-08-09,339,Yakisoba,3,31.88
57,2023-08-27,283,Pizza Mussarela,25,39.26
58,2024-09-30,192,Salada Caesar,2,27.69
59,2024-11-17,300,Brownie,29,9.98
60,2024-09-25,226,Agua Mineral,4,4.24
61,2025-08-30,259,Acai 300ml,,15.87
62,2024-11-07,267,Brownie,15,9.24
63,2024-12-20,197,Empanada,12,8.28
64,2024-08-04,191,Pizza Mussarela,18,40.83
65,2023-11-22,296,Refrigerante Lata,25,7.57
66,2025-09-07,290,Hamburguer,23,23.8
67,2024-04-25,128,Sushi 8 pecas,4,32.51
68,2023-07-08,144,Brownie,22,10.87
69,2024-11-27,272,Agua Mineral,27,4.1
70,2025-03-26,152,Suco de Laranja,6,9.69
71,2023-03-12,121,Sorvete 2 bolas,23,11.17
72,2025-07-13,302,Hamburguer,15,21.64
73,2023-07-03,127,Smoothie de Morango,1,14.46
74,2023-11-24,206,Torta de Limao,1,12.02
75,2023-07-01,343,Cafe Expresso,26,6.47
76,2024-04-15,133,Batata Frita,9,11.93
77,2024-04-11,280,Refrigerante Lata,5,7.94
78,2023-01-24,369,Pizza Mussarela,3,37.41
79,2023-06-29,277,Pizza Calabresa,29,40.88
80,2023-12-02,347,Acai 300ml,8,14.54
81,2025-03-30,390,Refrigerante Lata,24,7.77
82,2024-08-13,321,Brownie,2,10.37
83,2024-01-02,281,Torta de Limao,1,14.16
84,2024-09-29,314,Wrap de Frango,8,26.31
85,2024-04-25,361,Yakisoba,7,27.5
86,2024-06-29,297,Esfiha,25,7.01
87,2024-05-15,331,Agua Mineral,20,4.09
88,2025-05-26,142,Pizza Calabresa,8,41.7
89,2024-07-02,169,Brownie,12,9.97
90,2023-05-17,193,Wrap de Frango,27,24.66
91,2024-01-19,353,Brownie,18,8.92
92,2023-07-16,370,Yakisoba,8,32.39
93,2024-05-22,398,Pizza Mussarela,18,39.69
94,2024-06-28,180,Wrap de Frango,2,27.03
95,2023-12-13,209,Brownie,25,9.02
96,2024-02-12,381,Acai 300ml,18,17.15
97,2023-01-09,325,Salada Caesar,12,26.56
98,2024-07-31,248,Pastel,24,8.72
99,2025-01-23,138,Hamburguer,26,23.03
100,2023-08-02,359,Acai 300ml,27,16.76
101,2024-06-29,192,Smoothie de Morango,24,
102,2024-07-22,146,Smoothie de Morango,15,15.84
103,2023-12-03,143,Sorvete 2 bolas,26,10.23
104,2023-04-29,131,Torta de Limao,9,12.38
105,2024-07-08,232,Empanada,8,8.89
106,2023-10-08,235,Yakisoba,21,29.85
107,2024-12-12,326,Pizza Mussarela,20,42.87
108,2023-09-29,379,Esfiha,6,6.34
109,2023-04-30,121,Salada Caesar,16,
110,2024-10-19,379,Batata Frita,2,11.34
111,2023-06-28,325,Salada Caesar,9,30.11
112,2025-08-22,382,Sushi 8 pecas,19,34.24
113,2023-11-04,117,Cafe Expresso,9,6.63
114,2024-01-01,361,Sorvete 2 bolas,12,11.59
115,2024-01-15,118,Yakisoba,20,31.56
